fips,interval15min_num,name,state,interval15min,tot_exp_vote,total.votes,trumpd,bidenj,abs_trumpd,abs_bidenj,lag_total_votes,lag_bidenj,lag_trumpd,total_vote_chg,biden_chg,trump_chg,prop_expect_returned,dem_pct,dem2party_pct
1001,2042,AUTAUGA,ALABAMA,11/24/2020 13:11,27770,27770,19838,7503,0,0,27770,7503,19838,0,0,0,100,27.01836514,27.44230277
1003,2042,BALDWIN,ALABAMA,11/24/2020 13:11,109679,109679,83544,24578,0,0,109679,24578,83544,0,0,0,100,22.40902999,22.73172897
1005,2042,BARBOUR,ALABAMA,11/24/2020 13:11,10518,10518,5622,4816,0,0,10518,4816,5622,0,0,0,100,45.78817266,46.13910711
1007,2042,BIBB,ALABAMA,11/24/2020 13:11,9595,9595,7525,1986,352,215,9595,1986,7525,0,0,0,100,20.69828035,20.88108506
1009,2042,BLOUNT,ALABAMA,11/24/2020 13:11,27588,27588,24711,2640,0,0,27588,2640,24711,0,0,0,100,9.56937799,9.652297905
1011,2042,BULLOCK,ALABAMA,11/24/2020 13:11,4613,4613,1146,3446,0,0,4613,3446,1146,0,0,0,100,74.70192933,75.04355401
1013,2042,BUTLER,ALABAMA,11/24/2020 13:11,9488,9488,5458,3965,429,616,9488,3965,5458,0,0,0,100,41.78962901,42.07789451
1015,2042,CALHOUN,ALABAMA,11/24/2020 13:11,50983,50983,35101,15216,0,0,50983,15216,35101,0,0,0,100,29.84524253,30.24027665
1017,2042,CHAMBERS,ALABAMA,11/24/2020 13:11,15284,15284,8753,6365,0,0,15284,6365,8753,0,0,0,100,41.64485737,42.10212991
1019,2042,CHEROKEE,ALABAMA,11/24/2020 13:11,12301,12301,10583,1624,0,0,12301,1624,10583,0,0,0,100,13.20217868,13.30384206
1021,2042,CHILTON,ALABAMA,11/24/2020 13:11,19310,19310,16085,3073,0,0,19310,3073,16085,0,0,0,100,15.91403418,16.04029648
1023,2042,CHOCTAW,ALABAMA,11/24/2020 13:11,7464,7464,4296,3127,0,0,7464,3127,4296,0,0,0,100,41.89442658,42.12582514
1025,2042,CLARKE,ALABAMA,11/24/2020 13:11,13135,13135,7324,5755,0,0,13135,5755,7324,0,0,0,100,43.81423677,44.001835
1027,2042,CLAY,ALABAMA,11/24/2020 13:11,6930,6930,5601,1267,376,177,6930,1267,5601,0,0,0,100,18.28282828,18.4478742
1029,2042,CLEBURNE,ALABAMA,11/24/2020 13:11,7227,7227,6484,675,0,0,7227,675,6484,0,0,0,100,9.339975093,9.428691158
1031,2042,COFFEE,ALABAMA,11/24/2020 13:11,22275,22275,16899,5076,0,0,22275,5076,16899,0,0,0,100,22.78787879,23.09897611
1033,2042,COLBERT,ALABAMA,11/24/2020 13:11,27886,27886,19203,8343,614,875,27886,8343,19203,0,0,0,100,29.91823854,30.28751906
1035,2042,CONECUH,ALABAMA,11/24/2020 13:11,6441,6441,3442,2966,0,0,6441,2966,3442,0,0,0,100,46.04875019,46.28589263
1037,2042,COOSA,ALABAMA,11/24/2020 13:11,5479,5479,3631,1796,201,163,5479,1796,3631,0,0,0,100,32.77970433,33.09379031
1039,2042,COVINGTON,ALABAMA,11/24/2020 13:11,17430,17430,14586,2721,1011,496,17430,2721,14586,0,0,0,100,15.61101549,15.72196221
1041,2042,CRENSHAW,ALABAMA,11/24/2020 13:11,6617,6617,4864,1700,0,0,6617,1700,4864,0,0,0,100,25.69140094,25.89884217
1043,2042,CULLMAN,ALABAMA,11/24/2020 13:11,41851,41851,36880,4478,0,0,41851,4478,36880,0,0,0,100,10.6998638,10.82740945
1045,2042,DALE,ALABAMA,11/24/2020 13:11,19738,19738,14303,5170,0,0,19738,5170,14303,0,0,0,100,26.19313,26.54958147
1047,2042,DALLAS,ALABAMA,11/24/2020 13:11,17864,17864,5524,12230,0,0,17864,12230,5524,0,0,0,100,68.4617107,68.88588487
1049,2042,DEKALB,ALABAMA,11/24/2020 13:11,29356,29356,24767,4281,0,0,29356,4281,24767,0,0,0,100,14.58304946,14.73767557
1051,2042,ELMORE,ALABAMA,11/24/2020 13:11,41030,41030,30164,10367,0,0,41030,10367,30164,0,0,0,100,25.26687789,25.57795268
1053,2042,ESCAMBIA,ALABAMA,11/24/2020 13:11,15910,15910,10869,4918,0,0,15910,4918,10869,0,0,0,100,30.91137649,31.15221385
1055,2042,ETOWAH,ALABAMA,11/24/2020 13:11,47728,47728,35528,11567,0,0,47728,11567,35528,0,0,0,100,24.23524975,24.56099374
1057,2042,FAYETTE,ALABAMA,11/24/2020 13:11,8766,8766,7300,1395,285,190,8766,1395,7300,0,0,0,100,15.9137577,16.04370328
1059,2042,FRANKLIN,ALABAMA,11/24/2020 13:11,12578,12578,10376,2086,0,0,12578,2086,10376,0,0,0,100,16.58451264,16.73888621
1061,2042,GENEVA,ALABAMA,11/24/2020 13:11,12545,12545,10848,1595,0,0,12545,1595,10848,0,0,0,100,12.71422878,12.81845214
1063,2042,GREENE,ALABAMA,11/24/2020 13:11,4775,4775,875,3884,96,1465,4775,3884,875,0,0,0,100,81.34031414,81.61378441
1065,2042,HALE,ALABAMA,11/24/2020 13:11,7904,7900,3192,4663,172,1291,7900,4663,3192,0,0,0,99.94939271,59.02531646,59.36346276
1067,2042,HENRY,ALABAMA,11/24/2020 13:11,9298,9298,6607,2606,0,0,9298,2606,6607,0,0,0,100,28.0275328,28.28611744
1069,2042,HOUSTON,ALABAMA,11/24/2020 13:11,46173,46173,32618,12917,0,0,46173,12917,32618,0,0,0,100,27.97522362,28.36719007
1071,2042,JACKSON,ALABAMA,11/24/2020 13:11,23636,23636,19670,3717,0,0,23636,3717,19670,0,0,0,100,15.72601117,15.89344508
1073,2042,JEFFERSON,ALABAMA,11/24/2020 13:11,325848,325848,138843,181688,0,0,325848,181688,138843,0,0,0,100,55.75851317,56.68344092
1075,2042,LAMAR,ALABAMA,11/24/2020 13:11,7193,7193,6174,978,350,122,7193,978,6174,0,0,0,100,13.5965522,13.67449664
1077,2042,LAUDERDALE,ALABAMA,11/24/2020 13:11,44339,44339,31721,11915,0,0,44339,11915,31721,0,0,0,100,26.87250502,27.30543588
1079,2042,LAWRENCE,ALABAMA,11/24/2020 13:11,16031,16031,12322,3562,437,419,16031,3562,12322,0,0,0,100,22.21944982,22.42508184
1081,2042,LEE,ALABAMA,11/24/2020 13:11,71449,71449,42221,27860,0,0,71449,27860,42221,0,0,0,100,38.99284805,39.75399894
1083,2042,LIMESTONE,ALABAMA,11/24/2020 13:11,49235,49235,34640,13672,0,0,49235,13672,34640,0,0,0,100,27.76886361,28.29938732
1085,2042,LOWNDES,ALABAMA,11/24/2020 13:11,6835,6835,1836,4972,0,0,6835,4972,1836,0,0,0,100,72.74323336,73.03172738
1087,2042,MACON,ALABAMA,11/24/2020 13:11,8723,8723,1541,7108,0,0,8723,7108,1541,0,0,0,100,81.48572739,82.18291132
1089,2042,MADISON,ALABAMA,11/24/2020 13:11,194767,194767,102780,87286,0,0,194767,87286,102780,0,0,0,100,44.81560018,45.92404744
1091,2042,MARENGO,ALABAMA,11/24/2020 13:11,10900,10900,5343,5488,0,0,10900,5488,5343,0,0,0,100,50.34862385,50.66937494
1093,2042,MARION,ALABAMA,11/24/2020 13:11,13807,13807,12205,1463,0,0,13807,1463,12205,0,0,0,100,10.59607445,10.70383377
1095,2042,MARSHALL,ALABAMA,11/24/2020 13:11,39655,39655,33191,5943,0,0,39655,5943,33191,0,0,0,100,14.98676081,15.18628303
1097,2042,MOBILE,ALABAMA,11/24/2020 13:11,183164,183164,101243,79474,0,0,183164,79474,101243,0,0,0,100,43.38953069,43.97704699
1099,2042,MONROE,ALABAMA,11/24/2020 13:11,10668,10668,6147,4455,367,887,10668,4455,6147,0,0,0,100,41.76040495,42.02037351
1101,2042,MONTGOMERY,ALABAMA,11/24/2020 13:11,99139,99139,33311,64529,0,0,99139,64529,33311,0,0,0,100,65.08941991,65.95359771
1103,2042,MORGAN,ALABAMA,11/24/2020 13:11,53722,53722,39664,13234,0,0,53722,13234,39664,0,0,0,100,24.63422806,25.01795909
1105,2042,PERRY,ALABAMA,11/24/2020 13:11,5230,5230,1339,3860,142,1057,5230,3860,1339,0,0,0,100,73.80497132,74.24504712
1107,2042,PICKENS,ALABAMA,11/24/2020 13:11,9668,9668,5594,4022,0,0,9668,4022,5594,0,0,0,100,41.60115846,41.82612313
1109,2042,PIKE,ALABAMA,11/24/2020 13:11,13841,13841,8042,5636,435,702,13841,5636,8042,0,0,0,100,40.71960118,41.20485451
1111,2042,RANDOLPH,ALABAMA,11/24/2020 13:11,10837,10837,8559,2203,0,0,10837,2203,8559,0,0,0,100,20.3285042,20.47017283
1113,2042,RUSSELL,ALABAMA,11/24/2020 13:11,21329,21329,9864,11228,0,0,21329,11228,9864,0,0,0,100,52.64194289,53.23345344
1115,2042,ST. CLAIR,ALABAMA,11/24/2020 13:11,44441,44441,36166,7744,0,0,44441,7744,36166,0,0,0,100,17.42535046,17.63607379
1117,2042,SHELBY,ALABAMA,11/24/2020 13:11,114950,114950,79700,33268,0,0,114950,33268,79700,0,0,0,100,28.94127882,29.44904752
1119,2042,SUMTER,ALABAMA,11/24/2020 13:11,6291,6291,1598,4648,0,0,6291,4648,1598,0,0,0,100,73.88332539,74.415626
1121,2042,TALLADEGA,ALABAMA,11/24/2020 13:11,35663,35663,22235,13138,5882,6138,35663,13138,22235,0,0,0,100,36.83930124,37.14132248
1123,2042,TALLAPOOSA,ALABAMA,11/24/2020 13:11,20991,20991,14963,5859,0,0,20991,5859,14963,0,0,0,100,27.91196227,28.13850735
1125,2042,TUSCALOOSA,ALABAMA,11/24/2020 13:11,90172,90172,51117,37765,0,0,90172,37765,51117,0,0,0,100,41.88107173,42.48891789
1127,2042,WALKER,ALABAMA,11/24/2020 13:11,31170,31170,26002,4834,0,0,31170,4834,26002,0,0,0,100,15.50850176,15.67648203
1129,2042,WASHINGTON,ALABAMA,11/24/2020 13:11,8876,8876,6564,2258,0,0,8876,2258,6564,0,0,0,100,25.43938711,25.59510315
1131,2042,WILCOX,ALABAMA,11/24/2020 13:11,5903,5903,1833,4048,0,0,5903,4048,1833,0,0,0,100,68.57530069,68.83183132
1133,2042,WINSTON,ALABAMA,11/24/2020 13:11,11284,11284,10195,974,0,0,11284,974,10195,0,0,0,100,8.63169089,8.720565852
2901,2731,ED 1,ALASKA,12/1/2020 17:26,7634,7360,3511,3477,1412,2138,7360,3477,3511,0,0,0,96.41079382,47.24184783,49.75672582
2902,2731,ED 2,ALASKA,12/1/2020 17:26,6316,6161,3674,2104,1314,1279,6161,2104,3674,0,0,0,97.54591514,34.15030028,36.41398408
2903,2731,ED 3,ALASKA,12/1/2020 17:26,8755,8385,6076,1903,1789,1172,8385,1903,6076,0,0,0,95.77384352,22.69528921,23.85010653
2904,2731,ED 4,ALASKA,12/1/2020 17:26,10949,10587,4690,5345,1750,3653,10585,5347,4687,2,-2,3,96.69376199,50.48644564,53.26357748
2905,2731,ED 5,ALASKA,12/1/2020 17:26,9092,8706,4077,4204,1497,2856,8654,4204,4077,52,0,0,95.75450946,48.28853664,50.7668156
2906,2731,ED 6,ALASKA,12/1/2020 17:26,9729,9518,5770,3272,1869,1666,9460,3272,5770,58,0,0,97.83122623,34.37696995,36.18668436
2907,2731,ED 7,ALASKA,12/1/2020 17:26,9538,9622,7027,2215,3777,1646,9622,2215,7027,0,0,0,100.8806878,23.02016213,23.96667388
2908,2731,ED 8,ALASKA,12/1/2020 17:26,9284,9912,7618,1953,2995,1327,9912,1953,7618,0,0,0,106.7643257,19.70338983,20.40539129
2909,2731,ED 9,ALASKA,12/1/2020 17:26,10297,10993,7787,2769,2,2,10993,2769,7787,0,0,0,106.7592503,25.18875648,26.23152709
2910,2731,ED 10,ALASKA,12/1/2020 17:26,10396,11205,8081,2727,3636,1902,11205,2727,8081,0,0,0,107.7818392,24.3373494,25.23131014
2911,2731,ED 11,ALASKA,12/1/2020 17:26,11142,10628,7096,3130,3491,2245,10628,3130,7096,0,0,0,95.38682463,29.45050809,30.60825347
2912,2731,ED 12,ALASKA,12/1/2020 17:26,10974,11238,7893,2957,3429,2113,11238,2957,7893,0,0,0,102.4056862,26.31251112,27.25345622
2913,2731,ED 13,ALASKA,12/1/2020 17:26,7513,7713,4652,2666,2284,1943,7713,2666,4652,0,0,0,102.6620524,34.5650201,36.43071878
2914,2731,ED 14,ALASKA,12/1/2020 17:26,11983,11443,6714,4261,3597,3328,11443,4261,6714,0,0,0,95.49361596,37.23673862,38.82460137
2915,2731,ED 15,ALASKA,12/1/2020 17:26,5729,5559,2671,2622,1309,1741,5559,2622,2671,0,0,0,97.03264095,47.16675661,49.5371245
2916,2731,ED 16,ALASKA,12/1/2020 17:26,8551,8121,3519,4273,1506,2972,8121,4273,3519,0,0,0,94.97134838,52.61667282,54.83829569
2917,2731,ED 17,ALASKA,12/1/2020 17:26,7806,7239,2810,4136,1310,2980,7239,4136,2810,0,0,0,92.73635665,57.13496339,59.54506191
2918,2731,ED 18,ALASKA,12/1/2020 17:26,8512,7720,2760,4681,1454,3517,7720,4681,2760,0,0,0,90.69548872,60.63471503,62.90821126
2919,2731,ED 19,ALASKA,12/1/2020 17:26,5511,5301,1975,3118,780,2028,5301,3118,1975,0,0,0,96.1894393,58.81909074,61.22128412
2920,2731,ED 20,ALASKA,12/1/2020 17:26,8211,7497,2383,4881,1313,3762,7497,4881,2383,0,0,0,91.30434783,65.10604242,67.19438326
2921,2731,ED 21,ALASKA,12/1/2020 17:26,9944,9429,3690,5414,1679,3973,9429,5414,3690,0,0,0,94.82099759,57.41860218,59.46836555
2922,2731,ED 22,ALASKA,12/1/2020 17:26,9628,9520,4684,4553,1944,3211,9520,4553,4684,0,0,0,98.87827171,47.82563025,49.29089531
2923,2731,ED 23,ALASKA,12/1/2020 17:26,7963,7739,3655,3810,1517,2561,7739,3810,3655,0,0,0,97.18698983,49.23116682,51.03817816
2924,2731,ED 24,ALASKA,12/1/2020 17:26,10684,10428,5378,4736,2442,3535,10428,4736,5378,0,0,0,97.60389367,45.41618719,46.82618153
2925,2731,ED 25,ALASKA,12/1/2020 17:26,9346,9325,4407,4600,1826,3342,9325,4600,4407,0,0,0,99.77530494,49.32975871,51.07138892
2926,2731,ED 26,ALASKA,12/1/2020 17:26,10241,10111,5243,4558,2496,3362,10111,4558,5243,0,0,0,98.73059272,45.07961626,46.50545863
2927,2731,ED 27,ALASKA,12/1/2020 17:26,10100,9506,4324,4844,1905,3524,9506,4844,4324,0,0,0,94.11881188,50.95729013,52.83595113
2928,2731,ED 28,ALASKA,12/1/2020 17:26,13141,12749,6162,6264,2926,4648,12749,6264,6162,0,0,0,97.01696979,49.13326535,50.41042974
2929,2731,ED 29,ALASKA,12/1/2020 17:26,10803,10747,7464,2985,2734,1971,10747,2985,7464,0,0,0,99.48162547,27.77519308,28.56732702
2930,2731,ED 30,ALASKA,12/1/2020 17:26,10293,10177,7182,2637,3114,1871,10177,2637,7182,0,0,0,98.8730205,25.91136877,26.85609533
2931,2731,ED 31,ALASKA,12/1/2020 17:26,11709,12410,6971,5037,2807,3716,12410,5037,6971,0,0,0,105.9868477,40.58823529,41.94703531
2932,2731,ED 32,ALASKA,12/1/2020 17:26,8593,8335,4440,3506,0,0,8335,3506,4440,0,0,0,96.99755615,42.06358728,44.1228291
2933,2731,ED 33,ALASKA,12/1/2020 17:26,11424,10955,3059,7535,1642,5955,10955,7535,3059,0,0,0,95.89460784,68.78137837,71.12516519
2934,2731,ED 34,ALASKA,12/1/2020 17:26,10846,10729,4543,5763,2877,4862,10729,5763,4543,0,0,0,98.92126129,53.71423245,55.9188822
2935,2731,ED 35,ALASKA,12/1/2020 17:26,10398,10100,4768,5010,2245,3435,10100,5010,4768,0,0,0,97.13406424,49.6039604,51.23747188
2936,2731,ED 36,ALASKA,12/1/2020 17:26,9504,9292,5114,3796,1619,1973,9292,3796,5114,0,0,0,97.76936027,40.8523461,42.60381594
2937,2731,ED 37,ALASKA,12/1/2020 17:26,5821,5066,2324,2522,0,0,5066,2522,2324,0,0,0,87.02971998,49.78286617,52.042922
2938,2731,ED 38,ALASKA,12/1/2020 17:26,5859,5299,1737,3202,331,921,5299,3202,1737,0,0,0,90.44205496,60.42649557,64.83093744
2939,2731,ED 39,ALASKA,12/1/2020 17:26,6485,5811,1896,3550,93,176,5811,3550,1896,0,0,0,89.60678489,61.09103425,65.18545722
2940,2731,ED 40,ALASKA,12/1/2020 17:26,5302,4590,1993,2308,0,0,4590,2308,1993,0,0,0,86.57110524,50.2832244,53.66193908
4001,2650,APACHE,ARIZONA,11/30/2020 21:11,35172,35183,11442,23293,7262,16460,35183,23293,11442,0,0,0,100.0312749,66.20526959,67.05916223
4003,2650,COCHISE,ARIZONA,11/30/2020 21:11,60442,60473,35557,23732,25934,21563,60473,23732,35557,0,0,0,100.0512888,39.24396011,40.02766112
4005,2650,COCONINO,ARIZONA,11/30/2020 21:11,73272,73346,27052,44698,20311,39430,73346,44698,27052,0,0,0,100.1009936,60.94129196,62.29686411
4007,2650,GILA,ARIZONA,11/30/2020 21:11,27662,27678,18377,8943,15005,7481,27678,8943,18377,0,0,0,100.0578411,32.31086061,32.73426061
4009,2650,GRAHAM,ARIZONA,11/30/2020 21:11,14996,14996,10749,4034,7289,2944,14996,4034,10749,0,0,0,100,26.9005068,27.2881012
4011,2650,GREENLEE,ARIZONA,11/30/2020 21:11,3688,3688,2433,1182,1571,996,3688,1182,2433,0,0,0,100,32.04989154,32.69709544
4012,2650,LA PAZ,ARIZONA,11/30/2020 21:11,7460,7460,5129,2236,2936,1508,7460,2236,5129,0,0,0,100,29.97319035,30.35980991
4013,2650,MARICOPA,ARIZONA,11/30/2020 21:11,2068144,2069475,995665,1040774,889400,978457,2069475,1040774,995665,0,0,0,100.0643572,50.29169234,51.10754606
4015,2650,MOHAVE,ARIZONA,11/30/2020 21:11,104705,104705,78535,24831,56914,21783,104705,24831,78535,0,0,0,100,23.71519985,24.02240582
4017,2650,NAVAJO,ARIZONA,11/30/2020 21:11,51783,51783,27657,23383,18787,16867,51783,23383,27657,0,0,0,100,45.15574609,45.81308777
4019,2650,PIMA,ARIZONA,11/30/2020 21:11,520735,520735,207758,304981,165747,282457,520735,304981,207758,0,0,0,100,58.56740953,59.48074947
4021,2650,PINAL,ARIZONA,11/30/2020 21:11,185037,185037,107077,75106,80293,65042,185037,75106,107077,0,0,0,100,40.58971989,41.22558087
4023,2650,SANTA CRUZ,ARIZONA,11/30/2020 21:11,19561,19561,6194,13138,4481,10994,19561,13138,6194,0,0,0,100,67.16425541,67.9598593
4025,2650,YAVAPAI,ARIZONA,11/30/2020 21:11,143280,143280,91527,49602,76416,46865,143280,49602,91527,0,0,0,100,34.61892797,35.14656803
4027,2650,YUMA,ARIZONA,11/30/2020 21:11,69926,69926,36534,32210,30226,28134,69926,32210,36534,0,0,0,100,46.06298087,46.85499825
5001,2640,ARKANSAS,ARKANSAS,11/30/2020 18:41,6292,6292,4304,1818,3803,1591,6292,1818,4304,0,0,0,100,28.89383344,29.69617772
5003,2640,ASHLEY,ARKANSAS,11/30/2020 18:41,7926,7926,5548,2125,5540,2119,7926,2125,5548,0,0,0,100,26.8104971,27.69451323
5005,2640,BAXTER,ARKANSAS,11/30/2020 18:41,21007,21007,15836,4635,13296,4186,21007,4635,15836,0,0,0,100,22.06407388,22.64178594
5007,2640,BENTON,ARKANSAS,11/30/2020 18:41,119912,119912,73965,42249,62366,37684,119912,42249,73965,0,0,0,100,35.23333778,36.35448397
5009,2640,BOONE,ARKANSAS,11/30/2020 18:41,17114,17114,13652,3064,9946,2572,17114,3064,13652,0,0,0,100,17.90347084,18.32974396
5011,2640,BRADLEY,ARKANSAS,11/30/2020 18:41,3654,3654,2335,1214,1561,921,3654,1214,2335,0,0,0,100,33.22386426,34.20681882
5013,2640,CALHOUN,ARKANSAS,11/30/2020 18:41,2182,2182,1636,479,1030,339,2182,479,1636,0,0,0,100,21.95233731,22.64775414
5015,2640,CARROLL,ARKANSAS,11/30/2020 18:41,11797,11797,7424,4023,5489,3562,11797,4023,7424,0,0,0,100,34.10189031,35.14457937
5017,2640,CHICOT,ARKANSAS,11/30/2020 18:41,4103,4103,1752,2260,1390,1436,4103,2260,1752,0,0,0,100,55.08164757,56.33100698
5019,2640,CLARK,ARKANSAS,11/30/2020 18:41,8395,8395,4616,3438,3356,2928,8395,3438,4616,0,0,0,100,40.95294818,42.68686367
5021,2640,CLAY,ARKANSAS,11/30/2020 18:41,5183,5183,4086,962,1087,269,5183,962,4086,0,0,0,100,18.56067914,19.0570523
5023,2640,CLEBURNE,ARKANSAS,11/30/2020 18:41,12680,12680,10328,1988,6712,1530,12680,1988,10328,0,0,0,100,15.67823344,16.14160442
5025,2640,CLEVELAND,ARKANSAS,11/30/2020 18:41,3600,3600,2867,651,1654,461,3600,651,2867,0,0,0,100,18.08333333,18.50483229
5027,2640,COLUMBIA,ARKANSAS,11/30/2020 18:41,8616,8616,5500,2814,4713,2363,8616,2814,5500,0,0,0,100,32.66016713,33.84652394
5029,2640,CONWAY,ARKANSAS,11/30/2020 18:41,8685,8685,5694,2615,3640,2101,8685,2615,5694,0,0,0,100,30.109384,31.47189794
5031,2640,CRAIGHEAD,ARKANSAS,11/30/2020 18:41,38511,38511,25558,11921,18477,9435,38511,11921,25558,0,0,0,100,30.95479214,31.80714533
5033,2640,CRAWFORD,ARKANSAS,11/30/2020 18:41,24091,24091,18607,4959,14299,4132,24091,4959,18607,0,0,0,100,20.58445062,21.04302809
5035,2640,CRITTENDEN,ARKANSAS,11/30/2020 18:41,16367,16367,7333,8514,6182,6750,16367,8514,7333,0,0,0,100,52.01930714,53.72625734
5037,2640,CROSS,ARKANSAS,11/30/2020 18:41,6942,6942,4946,1772,3952,1428,6942,1772,4946,0,0,0,100,25.52578508,26.37689789
5039,2640,DALLAS,ARKANSAS,11/30/2020 18:41,2649,2649,1573,963,928,712,2649,963,1573,0,0,0,100,36.35334088,37.97318612
5041,2640,DESHA,ARKANSAS,11/30/2020 18:41,4164,4164,1921,2016,1503,1514,4164,2016,1921,0,0,0,100,48.41498559,51.20650241
